title,average_rating,author,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publisher,categories,publi_year,age_book,language_num,publisher_num,title_num,"Art, Music and Architecture",Business and Self Development,Classics,"Fiction, Fantasy and Paranormal","History, Autobiography and Biography","Mystery, Thriller and Crime",Nonfiction,Others,Politics and Society,Religion,Romance,Science,"Travel, sports and leisures","comics, graphic and children",author_num,author_occurrence,publisher_occurrence
The Liberated Bride,3.77,A.B. Yehoshua,9780156030168_,eng,576.0,457,44.0,Mariner Books,"Fiction, Fantasy and Paranormal",2004,16,2,1154,7693,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0
A Woman in Jerusalem,3.43,A.B. Yehoshua,9780151012268_,eng,256.0,851,132.0,Houghton Mifflin Harcourt,"Fiction, Fantasy and Paranormal",2006,14,2,933,335,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
Notes from Underground & A Confession (Everyman's Library),3.76,A.D.P. Briggs,9780460874489_,eng,256.0,17,1.0,Everymans Library,"Fiction, Fantasy and Paranormal",1994,26,2,620,4744,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0
Jack Vance: Critical Appreciations and a Bibliography,4.15,A.E. Cunningham,9780712311021_,eng,232.0,13,2.0,British Library,"History, Autobiography and Biography",2000,20,2,305,3472,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1.0,1.0
The Know-It-All: One Man's Humble Quest to Become the Smartest Person in the World,3.76,A.J. Jacobs,9780743250627_,eng,389.0,24243,2326.0,Simon  Schuster,Nonfiction,2005,15,2,1725,7614,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1.0,1.0
The Mistress's Daughter,3.28,A.M. Homes,9780670038381_,eng,256.0,3282,518.0,Viking,"History, Autobiography and Biography",2007,13,2,1985,7916,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4.0,1.0
Beauty's Punishment (Sleeping Beauty  #2),3.62,A.N. Roquelaure,9780452281431_,eng,233.0,22255,710.0,Penguin Books,"Fiction, Fantasy and Paranormal",1999,21,2,1396,826,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2.0,10.0
Beauty's Release (Sleeping Beauty  #3),3.71,A.N. Roquelaure,9780452281455_,eng,238.0,23970,570.0,Penguin Books,"Fiction, Fantasy and Paranormal",1999,21,2,1396,827,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1.0,1.0
Sleeping Beauty Trilogy (Sleeping Beauty  #1-3),3.99,A.N. Roquelaure,9780452156616_,eng,724.0,10891,230.0,Plume,"Fiction, Fantasy and Paranormal",1999,21,2,1478,5859,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1.0,1.0
Beauty's Punishment,3.62,A.N. Roquelaure,9780452266629_,eng,233.0,426,30.0,Plume,"Fiction, Fantasy and Paranormal",1984,36,2,1478,825,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1.0,1.0
